KARMN,TEFF_VERA,TEFF_MODE,TEFF_STD,TEFF_Q16,TEFF_Q84,LOGG_VERA,LOGG_MODE,LOGG_STD,LOGG_Q16,LOGG_Q84,ZETA_VERA,ZETA_MODE,ZETA_STD,ZETA_Q16,ZETA_Q84,VSINI_VERA,VSINI_MODE,VSINI_STD,VSINI_Q16,VSINI_Q84
J00051+457,3726.0,3732.45,46.1931,3702.9,3796.3,4.7,4.64,0.0474002,4.61643,4.71544,0.16,0.2,0.0774563,0.115944,0.263032,1.5,4.27,1.26236,3.20153,5.95913
J00067-075,3023.0,2947.2,93.8227,2862.54,3063.77,5.05,5.13,0.135493,4.90579,5.18309,-0.08,0.3,0.2769,-0.142328,0.445734,1.5,4.82,3.0422,2.05432,8.02149
J00162+198E,3261.0,3343.43,64.7862,3260.59,3400.1,4.86,4.8,0.106837,4.69724,4.93492,0.08,0.28,0.166431,0.0208256,0.370715,1.5,4.32,2.15649,2.73651,7.07843
J00183+440,3601.0,3674.95,44.5421,3637.02,3736.29,4.78,4.71,0.0569966,4.64685,4.75991,-0.16,0.03,0.0760701,-0.0414621,0.115289,1.5,3.56,1.28253,2.59813,5.28033
J00184+440,3256.0,3226.01,53.5469,3179.48,3291.51,4.97,4.96,0.103659,4.86513,5.07387,-0.13,0.05,0.144737,-0.150354,0.159182,1.5,5.53,2.00233,2.91839,7.15783
J00286-066,3321.0,3441.7,59.7692,3389.13,3517.93,4.83,4.74,0.0899925,4.65333,4.84674,0.09,0.26,0.139164,0.0450094,0.330101,1.5,4.76,1.8652,2.75592,6.63788
J00389+306,3482.0,3587.23,45.4164,3546.17,3645.06,4.79,4.73,0.0667294,4.65398,4.79001,-0.05,0.14,0.0887771,0.0175519,0.202623,1.5,4.23,1.32944,2.72597,5.55183
J00570+450,3400.0,3409.33,47.652,3348.76,3452.11,4.85,4.81,0.0907825,4.74356,4.93417,-0.01,0.18,0.101281,0.0369976,0.24449,1.5,4.77,1.56147,2.82573,6.21742
J01013+613,3499.0,3535.22,39.0582,3501.1,3580.7,4.8,4.78,0.0787255,4.70703,4.87587,-0.1,0.12,0.0910706,0.00370525,0.186259,1.5,4.25,1.35516,2.65145,5.45262
J01025+716,3419.0,3661.18,58.7192,3611.91,3739.49,4.8,4.65,0.0608934,4.60509,4.72962,0.02,0.29,0.102963,0.138423,0.350774,1.5,4.14,1.52926,2.84349,6.04802
