KARMN,TEFF_VERA,TEFF_DL,TEFF_MODE,TEFF_STD,TEFF_Q16,TEFF_Q84,ZETA_VERA,ZETA_DL,ZETA_MODE,ZETA_STD,ZETA_Q16,ZETA_Q84
J00051+457,3726.0,3730.48,3721.17,10.0057,3713.36,3729.49,0.16,0.18,-0.02,0.0262546,-0.035877,0.0219663
J00067-075,3023.0,3028.74,3139.73,145.36,3101.49,3388.41,-0.08,0.02,-0.19,0.136768,-0.224886,0.0856012
J00162+198E,3261.0,3365.87,3148.78,39.6797,3117.48,3194.56,0.08,0.19,-0.02,0.0407859,-0.0466094,0.0446653
J00183+440,3601.0,3665.85,3563.21,12.7706,3554.11,3564.15,-0.16,0.04,-0.26,0.000347352,,
J00184+440,3256.0,3288.05,3218.52,54.8565,3177.09,3289.14,-0.13,-0.07,-0.07,0.073132,-0.1727,-0.0125666
J00286-066,3321.0,3461.95,3246.07,30.7628,3224.28,3286.16,0.09,0.2,-0.06,0.0320305,-0.104284,-0.0390301
J00389+306,3482.0,3596.84,3502.71,12.0306,3490.08,3512.23,-0.05,0.1,-0.09,0.0229521,-0.121033,-0.0716442
J00570+450,3400.0,3414.97,3340.87,22.45,3321.67,3370.54,-0.01,0.1,-0.09,0.0270805,-0.125522,-0.0766194
J01013+613,3499.0,3537.85,3489.27,17.1916,3473.32,3509.13,-0.1,0.02,-0.18,0.0255569,-0.197412,-0.151066
J01025+716,3419.0,3672.94,3448.63,24.8119,3431.03,3481.6,0.02,0.27,-0.03,0.0388444,-0.0771401,0.00355871
J01026+623,3792.0,3689.38,3743.45,11.054,3735.18,3752.82,0.36,0.21,0.1,0.0300952,0.0887778,0.158511
J01048-181,3156.0,3112.68,3101.18,93.7271,3077.97,3261.35,0.07,0.18,0.17,0.0581947,0.0862374,0.205906
J01125-169,3125.0,3168.83,3146.96,128.444,3098.01,3370.95,-0.14,-0.09,0.12,0.100777,-0.0271856,0.19922
J01339-176,3324.0,3309.52,3279.18,64.3589,3256.05,3396.98,-0.09,0.01,0.04,0.0556283,-0.0222995,0.102703
J01433+043,3484.0,3553.6,3514.08,11.5533,3499.81,3522.2,-0.06,0.03,-0.09,0.0253261,-0.124881,-0.0752691
J01518+644,3483.0,3588.04,3570.45,13.2367,3561.95,3586.05,-0.12,0.16,0.06,0.0288601,0.0475209,0.109166
J02002+130,3160.0,3165.26,3109.02,145.9,3056.53,3352.8,-0.16,-0.07,0.16,0.0930083,0.029093,0.223375
J02015+637,3438.0,3517.26,3457.46,14.5218,3449.04,3471.73,-0.02,0.16,0.06,0.0278319,0.0401704,0.0948405
J02070+496,3391.0,3409.41,3423.17,30.9987,3392.52,3464.09,-0.07,-0.04,-0.12,0.0391501,-0.150052,-0.0772191
J02088+494,3248.0,3319.79,3476.44,132.255,3388.23,3676.54,-0.24,0.35,-0.4,0.125778,-0.51031,-0.27642
J02123+035,3604.0,3945.97,3519.9,13.5749,3509.94,3538.44,0.0,0.21,-0.33,0.0121196,-0.341118,-0.315939
J02222+478,3901.0,3879.98,3819.4,12.3825,3814.68,3827.69,0.28,0.21,0.05,0.0295344,0.034271,0.10046
J02336+249,3244.0,3237.53,3230.3,102.185,3191.83,3406.98,-0.06,0.03,0.18,0.0602214,0.0937103,0.22413
J02358+202,3513.0,3651.48,3649.59,11.4106,3640.33,3660.86,-0.15,0.2,0.08,0.0293396,0.072203,0.138093
J02362+068,3257.0,3393.16,3147.21,36.1744,3125.14,3192.8,0.09,0.19,-0.2,0.000665399,,
J02442+255,3424.0,3460.26,3320.85,19.8405,3307.01,3340.72,-0.03,0.03,-0.14,0.0314712,-0.18206,-0.128333
J02519+224,3260.0,3265.72,3409.73,146.292,3293.84,3615.12,-0.05,0.33,-0.59,0.177712,-0.814433,-0.47487
J02565+554W,3875.0,4009.29,3822.72,11.3521,3814.11,3830.31,0.42,0.29,0.16,0.0366419,0.141652,0.226122
J03133+047,3130.0,3134.59,3047.71,75.0433,3035.57,3156.38,0.13,0.22,0.25,0.0473096,0.225372,0.287128
J03181+382,3847.0,3804.21,3799.26,11.638,3792.45,3808.05,0.44,0.27,0.3,0.0319066,0.242181,0.315582
J03213+799,3519.0,3617.7,3512.55,13.2721,3496.44,3524.6,-0.12,0.11,-0.1,0.0232934,-0.129297,-0.0797383
J03217-066,3520.0,3601.3,3615.31,17.4656,3598.95,3629.58,-0.1,0.12,-0.03,0.0367788,-0.0532119,0.0249937
J03463+262,3975.0,3902.3,3889.86,17.8191,3875.45,3895.0,0.34,0.21,0.07,0.0301942,0.05894,0.127291
J03473-019,3364.0,3442.34,3611.53,51.0569,3587.51,3704.6,-0.17,0.09,-0.14,0.0556218,-0.208909,-0.0902993
J03531+625,3433.0,3564.49,3446.58,14.4853,3435.75,3462.06,-0.02,0.07,-0.18,0.0209307,-0.203098,-0.165082
J04153-076,3207.0,3382.55,3282.29,85.354,3225.28,3414.49,-0.06,0.11,-0.23,0.0506541,-0.278945,-0.167066
J04225+105,3401.0,3460.64,3277.01,25.3947,3258.6,3306.19,0.04,0.27,0.14,0.0333881,0.106534,0.179175
J04290+219,4173.0,4176.65,3935.67,20.7097,3915.42,3946.58,0.41,0.2,0.27,0.0444572,0.200936,0.301448
J04311+589,3277.0,3289.63,3041.56,56.6719,3006.76,3081.11,0.06,0.18,0.16,0.0384964,0.101782,0.179502
J04376+528,4021.0,4033.26,3875.76,16.092,3868.92,3882.2,0.18,0.15,-0.13,0.0262304,-0.174506,-0.122458
J04376-110,3570.0,3633.21,3594.95,11.3458,3583.24,3607.44,-0.01,0.12,-0.04,0.0268032,-0.0565024,-0.000687902
J04429+189,3520.0,3638.58,3678.94,11.5722,3661.48,3680.88,-0.08,0.16,0.07,0.025076,0.0624503,0.119626
J04429+214,3385.0,3430.01,3327.82,24.8472,3302.68,3351.19,0.0,0.13,0.07,0.0297017,0.0496363,0.117179
J04520+064,3339.0,3377.35,3193.22,35.6434,3165.6,3226.24,0.02,0.18,0.16,0.0344514,0.100242,0.17744
J04538-177,3532.0,3633.01,3533.82,11.6943,3518.83,3541.16,-0.07,0.05,-0.19,0.0176637,-0.216519,-0.178514
J04588+498,3995.0,3946.88,3860.78,14.3248,3846.55,3867.6,0.31,0.23,0.06,0.0330458,0.04032,0.116072
J05019+011,3210.0,3297.63,3330.18,110.485,3296.7,3538.97,-0.04,0.1,0.12,0.0610306,0.0343069,0.160322
J05019-069,3206.0,3214.95,3140.63,93.7615,3107.98,3296.33,-0.1,-0.04,0.16,0.0863876,0.0190613,0.20492
J05033-173,3397.0,3406.38,3285.89,22.9203,3261.27,3312.1,-0.04,-0.03,-0.18,0.029807,-0.209377,-0.168992
J05062+046,3180.0,3239.82,3262.94,172.559,3175.96,3539.4,0.01,0.44,-0.46,0.14735,-0.649348,-0.363116
J05127+196,3539.0,3609.82,3488.34,15.2669,3479.79,3506.91,-0.09,0.07,-0.1,0.0265006,-0.141638,-0.0831473
J05280+096,3332.0,3386.74,3216.16,28.7168,3202.27,3251.24,-0.01,0.05,-0.2,0.0304697,-0.219818,-0.160069
J05314-036,3865.0,3808.2,3800.95,10.5976,3799.42,3809.8,0.46,0.27,0.36,0.0321897,0.29647,0.368945
J05337+019,3391.0,3413.34,3614.29,67.1304,3586.54,3741.13,-0.26,0.08,-0.3,0.0695984,-0.351269,-0.230791
J05348+138,3398.0,3400.77,3302.85,21.1396,3278.58,3322.93,0.05,0.12,-0.02,0.0221005,-0.0436017,0.0031669
J05360-076,3322.0,3331.19,3076.25,49.5777,3052.89,3117.81,0.08,0.22,0.12,0.0318726,0.0818771,0.14664
J05365+113,4046.0,4005.94,3910.79,18.951,3898.67,3917.53,0.27,0.15,-0.09,0.0276337,-0.115469,-0.0703036
J05366+112,3280.0,3288.12,3283.31,85.6038,3246.56,3432.41,-0.13,-0.0,0.08,0.0699449,-0.0189126,0.137824
J05415+534,3845.0,3760.03,3764.98,12.6851,3758.9,3783.06,0.28,0.2,0.04,0.0316215,0.0304928,0.104048
J05421+124,3257.0,3395.42,3085.34,46.6945,3068.07,3139.75,0.02,0.14,-0.22,0.0216899,-0.233815,-0.189242
J06000+027,3249.0,3227.36,3344.94,108.65,3278.04,3524.08,-0.07,-0.04,0.09,0.0788438,-0.0267178,0.144966
J06011+595,3289.0,3325.78,3164.09,32.3351,3152.05,3202.34,-0.03,0.09,0.05,0.0301827,0.00791926,0.0688756
J06024+498,3104.0,3109.5,3039.98,107.511,3019.38,3226.46,-0.03,0.11,0.13,0.0812952,0.0227814,0.196565
J06103+821,3484.0,3560.58,3506.99,14.0111,3495.77,3524.72,-0.06,0.09,-0.13,0.0261822,-0.162517,-0.116677
J06105-218,3820.0,3783.94,3762.29,11.3606,3757.67,3773.85,0.29,0.2,0.05,0.029127,0.040571,0.105811
J06246+234,3205.0,3363.17,3182.13,51.3118,3130.97,3235.12,-0.05,0.05,-0.19,0.0597174,-0.251055,-0.117486
J06371+175,3723.0,3893.46,3661.8,13.344,3644.79,3673.29,-0.3,-0.01,-0.37,0.0228021,-0.388765,-0.34701
J06396-210,3290.0,3307.15,3156.76,49.7228,3137.44,3225.66,-0.02,0.01,0.03,0.037315,-0.0153794,0.0606342
J06421+035,3398.0,3477.91,3364.92,19.5596,3353.2,3386.09,0.03,0.1,-0.05,0.0277481,-0.0945174,-0.0373839
J06548+332,3415.0,3434.93,3307.93,18.8588,3292.49,3324.39,0.0,0.09,-0.06,0.0244754,-0.0955724,-0.0491204
J06574+740,3253.0,3297.69,3517.88,131.733,3411.23,3701.43,-0.1,0.19,-0.54,0.174872,-0.771072,-0.418314
J06594+193,3023.0,3010.72,3100.01,133.164,3061.55,3314.72,0.08,0.22,0.04,0.0834604,-0.0223897,0.171761
J07033+346,3253.0,3252.37,3254.91,91.3898,3214.99,3411.34,-0.11,0.02,0.19,0.063096,0.0995664,0.23041
J07044+682,3421.0,3493.31,3377.77,15.9876,3366.42,3392.52,-0.01,0.13,0.0,0.0234215,-0.0203711,0.0267863
J07274+052,3306.0,3404.39,3225.75,29.51,3202.92,3262.0,0.01,0.15,-0.09,0.0199105,-0.11794,-0.0742896
J07287-032,3412.0,3466.35,3368.55,17.8323,3352.47,3386.67,0.0,0.1,-0.04,0.0232313,-0.0592135,-0.0145306
J07319+362N,3268.0,3335.34,3321.84,76.3925,3282.42,3447.61,-0.03,0.05,0.14,0.081572,0.0303003,0.197841
J07353+548,3510.0,3544.74,3520.57,18.2885,3501.06,3532.89,-0.06,0.09,-0.19,0.0189132,-0.210549,-0.17649
J07361-031,3867.0,3754.01,3801.76,14.0,3793.08,3818.82,0.26,0.15,-0.16,0.0355226,-0.194451,-0.128743
J07386-212,3393.0,3412.96,3261.62,28.7333,3244.53,3304.95,-0.06,0.03,-0.25,0.0426421,-0.276358,-0.205805
