Karmn,_RA,_DE,Teff,e_Teff,[Fe/H],e_[Fe/H]
"J00051+457 ",1.29537,45.78656,3728,66,,
J00162+198E,4.06729,19.86403,3211,65,0.25,0.11
"J00183+440 ",4.59533,44.02294,3669,67,-0.29,0.11
"J00184+440 ",4.60758,44.02725,3282,60,-0.17,0.11
"J00286-066 ",7.16442,-6.66367,4700,73,,
"J00389+306 ",9.746,30.61622,3568,66,,
"J00570+450 ",14.26121,45.08606,3403,60,,
"J01013+613 ",15.33354,61.36575,3474,69,,
"J01025+716 ",15.63433,71.67981,3475,80,,
"J01026+623 ",15.66196,62.34506,3740,68,,
"J01033+623 ",15.83262,62.3655,3094,61,0.22,0.11
"J01125-169 ",18.12767,-16.999,3062,62,,
"J01339-176 ",23.49167,-17.63994,3219,77,,
"J01352-072 ",23.808,-7.21431,3324,71,-0.13,0.12
"J01433+043 ",25.83408,4.32167,3597,41,,
"J01518+644 ",27.96304,64.43497,3584,63,,
"J02002+130 ",30.054,13.05194,3074,60,,
"J02015+637 ",30.39725,63.77,3514,71,,
"J02070+496 ",31.76608,49.64542,3393,63,,
"J02088+494 ",32.22342,49.449,3383,65,,
"J02123+035 ",33.08746,3.57561,3795,92,-0.35,0.11
"J02222+478 ",35.561,47.88003,3881,78,,
"J02336+249 ",38.40492,24.92714,3190,87,0.01,0.12
"J02358+202 ",38.97212,20.21989,3768,90,,
"J02362+068 ",39.06362,6.87164,3168,64,-0.02,0.12
"J02442+255 ",41.06462,25.52336,3401,62,-0.05,0.11
"J02530+168 ",43.25371,16.88128,2700,60,,
J02565+554W,44.14342,55.43725,3740,101,,
"J03133+047 ",48.3455,4.77481,2992,61,,
"J03181+382 ",49.53117,38.25206,3852,99,,
"J03213+799 ",50.34075,79.96728,3582,69,,
"J03217-066 ",50.4455,-6.67339,3639,92,-0.02,0.12
"J03463+262 ",56.58392,26.2155,3892,90,,
"J03473-019 ",56.84725,-1.97219,3584,94,0.05,0.11
"J03531+625 ",58.2935,62.56892,3476,60,,
"J04225+105 ",65.63329,10.52189,3351,73,,
"J04290+219 ",67.2505,21.92269,4124,102,0.25,0.11
"J04311+589 ",67.79796,58.97706,3277,67,0.49,0.11
"J04376+528 ",69.42054,52.89361,3971,81,-0.22,0.11
"J04376-110 ",69.42446,-11.03889,3671,67,0.1,0.12
"J04429+189 ",70.73242,18.95817,3680,99,0.04,0.11
"J04429+214 ",70.73275,21.47306,3544,79,0.09,0.11
"J04520+064 ",73.02387,6.47656,3457,83,,
"J04538-177 ",73.45825,-17.77342,3663,76,-0.13,0.12
"J04588+498 ",74.71071,49.84928,3864,97,,
"J05019+011 ",75.48608,1.14525,3228,64,-0.11,0.12
"J05019-069 ",75.48929,-6.94622,3144,70,,
"J05062+046 ",76.55387,4.65756,3173,81,,
"J05127+196 ",78.17596,19.66567,3651,73,-0.03,0.13
"J05280+096 ",82.00062,9.64394,3294,60,,
"J05314-036 ",82.86417,-3.67722,3701,61,,
"J05337+019 ",83.43667,1.94542,3600,72,0.03,0.12
"J05348+138 ",83.71717,13.87964,3242,83,,
"J05360-076 ",84.00033,-7.64956,3267,79,0.16,0.12
"J05365+113 ",84.12912,11.32786,3998,83,-0.03,0.11
"J05366+112 ",84.16025,11.29689,3169,62,,
"J05415+534 ",85.37804,53.48981,3733,90,0.14,0.11
"J05421+124 ",85.53862,12.48933,3122,69,,
"J06000+027 ",90.01458,2.70656,3168,70,0.15,0.11
"J06011+595 ",90.29604,59.59719,3178,84,,
"J06103+821 ",92.58271,82.10675,3583,68,,
"J06105-218 ",92.64425,-21.86464,3790,90,0.02,0.11
"J06246+234 ",96.172,23.43303,3099,64,-0.19,0.12
"J06371+175 ",99.295,17.56481,3800,74,-0.36,0.11
"J06396-210 ",99.90587,-21.02589,3258,60,-0.04,0.12
"J06421+035 ",100.54662,3.58128,3475,81,-0.05,0.12
"J06548+332 ",103.704,33.26817,3389,68,,
"J06574+740 ",104.35892,74.09067,3437,67,-0.01,0.12
"J07033+346 ",105.84654,34.69761,3240,60,,
"J07044+682 ",106.10808,68.28881,3440,60,,
"J07274+052 ",111.85208,5.22578,3317,73,0.02,0.11
"J07287-032 ",112.18933,-3.29814,3448,61,-0.09,0.11
J07319+362N,112.98883,36.22983,3604,83,0.1,0.11
"J07353+548 ",113.84117,54.84972,3591,81,0.06,0.12
"J07361-031 ",114.0295,-3.11078,3744,82,,
"J07393+021 ",114.846,2.18367,3940,83,,
"J07446+035 ",116.16737,3.55247,3242,64,,
"J07472+503 ",116.80779,50.34403,3225,65,-0.05,0.11
"J07558+833 ",118.97471,83.38469,3183,60,,
"J07582+413 ",119.55292,41.30369,3197,60,,
"J08119+087 ",122.98983,8.77306,3152,61,-0.11,0.11
"J08126-215 ",123.17037,-21.55194,3212,67,0.26,0.12
"J08161+013 ",124.03325,1.30258,3598,65,,
"J08293+039 ",127.34129,3.91925,3602,73,,
