Karmn,_RA,_DE,Teff,e_Teff,[Fe/H],e_[Fe/H]
"J00183+440 ",4.59533,44.02294,3603,60,-0.3,0.08
"J00184+440 ",4.60758,44.02725,3218,60,-0.3,0.08
"J01125-169 ",18.12767,-16.999,3056,60,-0.26,0.08
"J01433+043 ",25.83408,4.32167,3458,60,-0.13,0.08
"J02002+130 ",30.054,13.05194,3080,60,-0.16,0.08
"J02123+035 ",33.08746,3.57561,3638,62,-0.36,0.08
"J02222+478 ",35.561,47.88003,3785,62,0.14,0.08
"J02336+249 ",38.40492,24.92714,3199,62,0.0,0.08
"J02358+202 ",38.97212,20.21989,3542,62,0.12,0.08
"J02362+068 ",39.06362,6.87164,3284,60,-0.12,0.03
"J02442+255 ",41.06462,25.52336,3405,60,-0.1,0.08
"J02530+168 ",43.25371,16.88128,2800,60,-0.31,0.08
"J03181+382 ",49.53117,38.25206,3700,61,0.53,0.08
"J04153-076 ",63.83975,-7.65575,3167,60,-0.21,0.08
"J04290+219 ",67.2505,21.92269,4124,62,0.39,0.08
"J04376+528 ",69.42054,52.89361,3929,60,-0.11,0.08
"J04376-110 ",69.42446,-11.03889,3671,61,-0.04,0.08
"J04429+189 ",70.73242,18.95817,3680,60,0.14,0.08
"J04538-177 ",73.45825,-17.77342,3506,60,-0.24,0.08
"J05019-069 ",75.48929,-6.94622,3143,60,-0.06,0.08
"J05314-036 ",82.86417,-3.67722,3801,60,0.49,0.08
"J05365+113 ",84.12912,11.32786,3966,60,0.05,0.08
"J05415+534 ",85.37804,53.48981,3765,60,0.19,0.03
"J05421+124 ",85.53862,12.48933,3250,60,-0.22,0.08
"J06000+027 ",90.01458,2.70656,3214,60,0.07,0.08
"J06011+595 ",90.29604,59.59719,3340,60,-0.09,0.08
"J06024+498 ",90.62162,49.86561,3000,60,0.01,0.08
"J06246+234 ",96.172,23.43303,3165,60,-0.18,0.08
"J06371+175 ",99.295,17.56481,3801,60,-0.34,0.08
"J06548+332 ",103.704,33.26817,3448,60,-0.02,0.08
"J07274+052 ",111.85208,5.22578,3317,60,-0.11,0.08
"J07287-032 ",112.18933,-3.29814,3448,60,-0.01,0.08
"J07393+021 ",114.846,2.18367,3771,60,0.12,0.08
"J08161+013 ",124.03325,1.30258,3500,60,-0.12,0.08
"J08298+267 ",127.45562,26.776,2800,60,-0.15,0.08
"J08526+283 ",133.17025,28.31633,3166,61,0.31,0.03
"J09143+526 ",138.59492,52.68661,3920,60,-0.01,0.08
"J09411+132 ",145.29317,13.20956,3500,60,-0.05,0.08
"J09447-182 ",146.19729,-18.21361,3243,60,0.1,0.08
"J10122-037 ",153.07362,-3.74567,3623,60,0.13,0.08
"J10196+198 ",154.90117,19.87,3370,60,0.15,0.08
"J10251-102 ",156.29517,-10.22869,3700,60,-0.02,0.08
"J10289+008 ",157.23146,0.841,3548,60,-0.18,0.08
"J10508+068 ",162.71679,6.80814,3238,60,0.16,0.08
"J10564+070 ",164.1205,7.01472,2818,60,0.25,0.08
"J11033+359 ",165.83412,35.96989,3563,60,-0.38,0.08
"J11054+435 ",166.36908,43.52678,3619,60,-0.37,0.08
"J11055+435 ",166.37871,43.52164,2863,60,-0.32,0.08
"J11417+427 ",175.436,42.75197,3304,61,0.07,0.08
"J11421+267 ",175.54621,26.70658,3479,60,0.01,0.08
"J11477+008 ",176.935,0.80456,3192,60,-0.02,0.08
"J11509+483 ",177.7405,48.37739,3118,60,0.03,0.08
"J12100-150 ",182.52333,-15.07139,3385,60,0.26,0.08
"J12312+086 ",187.81583,8.81061,3726,61,-0.04,0.08
"J12388+116 ",189.7185,11.69614,3463,60,0.26,0.08
"J13196+333 ",199.91721,33.34653,3650,60,0.4,0.08
J13283-023W,202.08783,-2.36031,3498,60,0.08,0.08
"J13299+102 ",202.49912,10.37717,3727,61,-0.09,0.08
"J13450+176 ",206.27117,17.78544,3828,60,-0.54,0.08
"J13457+148 ",206.43242,14.89153,3649,60,-0.31,0.08
"J14251+518 ",216.29825,51.83142,3479,60,-0.11,0.08
"J14342-125 ",218.57004,-12.51956,3211,60,0.17,0.08
"J15194-077 ",229.86179,-7.72228,3395,60,-0.15,0.08
"J16254+543 ",246.35258,54.30411,3475,60,-0.35,0.08
"J16303-126 ",247.57525,-12.66258,3272,60,-0.03,0.08
J16554-083N,253.85508,-8.32258,3279,60,-0.26,0.08
"J16555-083 ",253.89692,-8.39467,2700,60,-0.07,0.08
"J16570-043 ",254.27392,-4.34897,3229,60,-0.09,0.08
"J16581+257 ",254.53687,25.74417,3700,60,0.03,0.08
"J17115+384 ",257.89479,38.44275,3432,61,0.03,0.08
"J17198+417 ",259.96962,41.71381,3433,61,-0.15,0.08
"J17303+055 ",262.59471,5.54853,3675,60,-0.09,0.08
"J17364+683 ",264.10792,68.33914,3439,60,0.05,0.08
"J17378+185 ",264.47229,18.59172,3657,60,-0.25,0.08
"J17578+046 ",269.45208,4.69336,3228,60,-0.4,0.08
"J17578+465 ",269.46237,46.58864,3470,60,0.04,0.08
"J18051-030 ",271.28158,-3.03133,3614,60,-0.22,0.08
"J18363+136 ",279.08012,13.60733,3223,61,0.04,0.08
"J18419+318 ",280.496,31.8305,3400,61,-0.16,0.08
J18427+596N,280.69458,59.63039,3441,60,-0.23,0.08
J18427+596S,280.69537,59.62686,3345,60,-0.3,0.08
"J18498-238 ",282.45567,-23.83625,3240,60,-0.18,0.08
"J18580+059 ",284.50058,5.90811,3834,60,0.14,0.08
"J19070+208 ",286.77321,20.88803,3500,60,-0.33,0.08
"J19072+208 ",286.805,20.87703,3494,62,-0.35,0.08
J19169+051N,289.23025,5.16889,3558,60,0.1,0.08
"J20260+585 ",306.52208,58.57297,3045,60,0.14,0.08
"J20450+444 ",311.26708,44.49906,3542,61,-0.15,0.08
"J20525-169 ",313.13758,-16.97472,3205,60,-0.02,0.08
"J20533+621 ",313.33246,62.15439,3791,60,-0.06,0.08
"J20567-104 ",314.19417,-10.44853,3473,61,0.16,0.08
"J22021+014 ",330.54283,1.40022,3848,60,0.02,0.08
"J22096-046 ",332.41808,-4.64075,3530,60,0.37,0.08
"J22503-070 ",342.58092,-7.09011,3740,61,0.02,0.08
"J22532-142 ",343.31971,-14.26369,3247,60,0.17,0.08
"J22565+165 ",344.145,16.55344,3720,60,0.21,0.08
"J23216+172 ",350.40604,17.29039,3324,60,0.24,0.08
"J23245+578 ",351.12712,57.85431,3764,60,0.31,0.08
"J23419+441 ",355.47933,44.17744,2930,60,0.23,0.08
"J23431+365 ",355.77629,36.53697,3173,60,0.05,0.08
"J23492+024 ",357.30221,2.40122,3646,60,-0.45,0.08
"J23505-095 ",357.63183,-9.55908,3221,60,0.37,0.08
