Karmn,Teff,e_Teff,logg,e_logg,[Fe/H],e_[Fe/H]
"J00051+457 ",3665,51,4.85,0.07,-0.16,0.16
"J00056+458 ",4055,51,4.64,0.07,0.11,0.16
J00162+198E,3336,51,5.02,0.07,0.08,0.16
"J00183+440 ",3606,51,4.93,0.07,-0.27,0.16
"J00184+440 ",3283,51,5.11,0.07,-0.19,0.16
"J00286-066 ",3387,51,4.99,0.07,0.05,0.16
"J00315-058 ",3392,51,5.01,0.07,-0.02,0.16
"J00389+306 ",3537,51,4.89,0.07,-0.04,0.16
J00395+149S,3334,51,5.06,0.07,-0.09,0.16
"J00570+450 ",3425,51,4.99,0.07,-0.05,0.16
"J01013+613 ",3537,51,4.92,0.07,-0.13,0.16
"J01025+716 ",3478,51,4.92,0.07,0.0,0.16
"J01026+623 ",3796,51,4.69,0.07,0.13,0.16
"J01125-169 ",3152,51,5.17,0.07,-0.2,0.16
"J01339-176 ",3335,51,5.07,0.07,-0.11,0.16
"J01384+006 ",3644,51,4.8,0.07,0.01,0.16
"J01433+043 ",3534,51,4.91,0.07,-0.08,0.16
"J01518+644 ",3553,51,4.89,0.07,-0.06,0.16
"J02002+130 ",3185,51,5.15,0.07,-0.18,0.16
"J02015+637 ",3495,51,4.93,0.07,-0.05,0.16
"J02026+105 ",3254,51,5.12,0.07,-0.17,0.16
"J02050-176 ",3534,51,4.88,0.07,0.0,0.16
"J02070+496 ",3414,51,5.02,0.07,-0.12,0.16
"J02096-143 ",3555,51,4.87,0.07,0.0,0.16
"J02116+185 ",3428,51,4.97,0.07,0.0,0.16
"J02123+035 ",3659,51,4.81,0.07,-0.05,0.16
"J02222+478 ",3921,51,4.68,0.07,0.06,0.16
"J02336+249 ",3293,51,5.09,0.07,-0.11,0.16
"J02358+202 ",3595,51,4.88,0.07,-0.1,0.16
"J02362+068 ",3326,51,5.03,0.07,0.04,0.16
"J02442+255 ",3459,51,4.96,0.07,-0.07,0.16
J02565+554W,3891,51,4.66,0.07,0.19,0.16
"J02581-128 ",3381,51,5.08,0.07,-0.3,0.16
"J03026-181 ",3613,51,4.78,0.07,0.12,0.16
"J03181+382 ",3854,51,4.66,0.07,0.2,0.16
"J03213+799 ",3574,51,4.9,0.07,-0.11,0.16
"J03217-066 ",3552,51,4.91,0.07,-0.13,0.16
"J03233+116 ",3412,51,5.02,0.07,-0.11,0.16
"J03430+459 ",3338,51,5.08,0.07,-0.2,0.16
"J03438+166 ",4034,51,4.64,0.07,0.12,0.16
"J03463+262 ",3997,51,4.65,0.07,0.11,0.16
"J03531+625 ",3484,51,4.94,0.07,-0.04,0.16
"J04225+105 ",3438,51,4.96,0.07,0.0,0.16
"J04290+219 ",4194,51,4.59,0.07,0.2,0.16
"J04311+589 ",3325,51,5.03,0.07,0.05,0.16
"J04376+528 ",4034,51,4.68,0.07,-0.09,0.16
"J04376-110 ",3624,51,4.84,0.07,-0.05,0.16
"J04429+189 ",3582,51,4.88,0.07,-0.08,0.16
"J04429+214 ",3424,51,4.98,0.07,0.0,0.16
"J04520+064 ",3391,51,5.0,0.07,0.0,0.16
"J04538-177 ",3563,51,4.9,0.07,-0.12,0.16
"J04544+650 ",3332,51,5.09,0.07,-0.19,0.16
"J04588+498 ",4015,51,4.65,0.07,0.09,0.16
"J05033-173 ",3416,51,5.01,0.07,-0.1,0.16
"J05050+442 ",3285,51,5.1,0.07,-0.12,0.16
"J05078+179 ",3432,51,5.02,0.07,-0.2,0.16
"J05091+154 ",3412,51,5.01,0.07,-0.09,0.16
"J05127+196 ",3579,51,4.89,0.07,-0.12,0.16
"J05280+096 ",3362,51,5.03,0.07,-0.03,0.16
"J05298-034 ",3474,51,4.93,0.07,0.0,0.16
"J05314-036 ",3894,51,4.64,0.07,0.25,0.16
"J05348+138 ",3424,51,4.98,0.07,0.0,0.16
