recno,Karmn,Kmn,TeffVN,e_TeffVN,loggVN,e_loggVN,[Fe/H]VN,e_[Fe/H]VN,TeffN,e_TeffN,loggN,e_loggN,[Fe/H]N,e_[Fe/H]N,TeffV,e_TeffV,loggV,e_loggV,[Fe/H]V,e_[Fe/H]V
1,"J00051+457 ",J00051+457,3772,54,4.68,0.06,0.26,0.19,3738,56,4.68,0.04,0.35,0.16,3726,51,4.7,0.04,0.16,0.16
2,"J00067-075 ",J00067-075,3038,54,5.04,0.06,-0.1,0.19,3024,56,5.03,0.04,-0.03,0.16,3023,51,5.05,0.04,-0.08,0.16
3,J00162+198E,J00162+198E,3272,54,4.85,0.06,0.11,0.19,3360,56,4.8,0.04,0.11,0.16,3261,51,4.86,0.04,0.08,0.16
4,"J00183+440 ",J00183+440,3606,54,4.77,0.06,-0.14,0.19,3628,56,4.77,0.04,-0.18,0.16,3601,51,4.78,0.04,-0.16,0.16
5,"J00184+440 ",J00184+440,3261,54,4.96,0.06,-0.12,0.19,3264,56,4.94,0.04,-0.05,0.16,3256,51,4.97,0.04,-0.13,0.16
6,"J00286-066 ",J00286-066,3343,54,4.8,0.06,0.15,0.19,3417,56,4.75,0.04,0.23,0.16,3321,51,4.83,0.04,0.09,0.16
7,"J00389+306 ",J00389+306,3491,54,4.78,0.06,-0.02,0.19,3571,56,4.69,0.04,0.26,0.16,3482,51,4.79,0.04,-0.05,0.16
8,"J00570+450 ",J00570+450,3397,54,4.85,0.06,-0.01,0.19,3414,56,4.86,0.04,-0.05,0.16,3400,51,4.85,0.04,-0.01,0.16
9,"J01013+613 ",J01013+613,3496,54,4.8,0.06,-0.11,0.19,3484,56,4.82,0.04,-0.11,0.16,3499,51,4.8,0.04,-0.1,0.16
10,"J01025+716 ",J01025+716,3432,54,4.78,0.06,0.08,0.19,3563,56,4.68,0.04,0.35,0.16,3419,51,4.8,0.04,0.02,0.16
11,"J01026+623 ",J01026+623,3810,54,4.67,0.06,0.41,0.19,3770,56,4.68,0.04,0.54,0.16,3792,51,4.68,0.04,0.36,0.16
12,"J01048-181 ",J01048-181,3094,54,4.98,0.06,0.06,0.19,3156,56,4.93,0.04,0.07,0.16,,,,,,
13,"J01125-169 ",J01125-169,,,,,,,,,,,,,3125,51,5.03,0.04,-0.14,0.16
14,"J01339-176 ",J01339-176,3311,54,4.92,0.06,-0.09,0.19,3261,56,4.92,0.04,-0.02,0.16,3324,51,4.91,0.04,-0.09,0.16
15,"J01433+043 ",J01433+043,3485,54,4.8,0.06,-0.06,0.19,3533,56,4.74,0.04,0.08,0.16,3484,51,4.8,0.04,-0.06,0.16
16,"J01518+644 ",J01518+644,3666,54,4.64,0.06,0.32,0.19,3697,56,4.63,0.04,0.4,0.16,3483,51,4.74,0.04,-0.12,0.16
17,"J02002+130 ",J02002+130,3154,54,5.01,0.06,-0.13,0.19,3157,56,5.01,0.04,-0.13,0.16,3160,51,5.01,0.04,-0.16,0.16
18,"J02015+637 ",J02015+637,3452,54,4.79,0.06,0.03,0.19,3603,56,4.67,0.04,0.5,0.16,3438,51,4.8,0.04,-0.02,0.16
19,"J02070+496 ",J02070+496,3388,54,4.88,0.06,-0.08,0.19,3395,56,4.88,0.04,-0.1,0.16,3391,51,4.88,0.04,-0.07,0.16
20,"J02088+494 ",J02088+494,3231,124,4.82,0.12,-0.25,0.4,3129,170,4.78,0.11,-0.04,0.46,3248,162,4.82,0.13,-0.24,0.39
21,"J02123+035 ",J02123+035,3605,54,4.73,0.06,0.0,0.19,3661,56,4.72,0.04,-0.01,0.16,3604,51,4.73,0.04,0.0,0.16
22,"J02222+478 ",J02222+478,3916,54,4.64,0.06,0.32,0.19,3840,56,4.64,0.04,0.47,0.16,3901,51,4.65,0.04,0.28,0.16
23,"J02336+249 ",J02336+249,3241,64,4.94,0.07,-0.07,0.19,,,,,,,3244,64,4.94,0.05,-0.06,0.17
24,"J02358+202 ",J02358+202,3726,54,4.63,0.06,0.38,0.19,3720,56,4.64,0.04,0.53,0.16,3513,51,4.74,0.04,-0.15,0.16
