recno,Karmn,Name,Teff,e_Teff,SpType,logg,e_logg,loggc,e_loggc,[Fe/H],e_[Fe/H],Lum,e_Lum,d,e_d,r_d,Rad,e_Rad,RadP,e_RadP,MassMR,e_MassMR,MassMMKs,e_MassMMKs,MassLogg,e_MassLogg,MassP,e_MassP,Com,SimbadName,_RA,_DE
1,"J00051+457 ",Gl 2,3675,51," dM1.0",4.84,0.07,4.731,0.03,-0.16,0.16,0.04341,8.6E-4,11.5,0.0053,GAIA2,0.5138,0.015,,,0.5181,0.02,0.5177,0.013,0.6665,0.11,,,"   ",Gl 2,1.29537,45.78657
2,"J00067-075 ",GJ 1002,3061,51," dM5.5",5.19,0.07,5.255,0.045,-0.13,0.16,0.001403,1.7E-5,4.8494,0.0031,GAIA2,0.1331,0.0045,0.1518,0.0022,0.1164,0.0092,0.1148,0.0028,0.1001,0.018,0.123,0.0019,"   ",GJ 1002,1.67999,-7.53806
3,J00162+198E,GJ 1006B,3323,51," dM4.0",5.03,0.07,4.973,0.034,0.08,0.16,0.008773,1.3E-4,15.326,0.019,GAIA2,0.2825,0.0089,0.3177,0.0043,0.274,0.013,0.2662,0.0069,0.3121,0.054,0.3097,0.006,"   ",GJ 1006B,4.0673,19.86402
4,"J00183+440 ",Gl 15A,3615,51," dM1.0",4.91,0.07,4.841,0.03,-0.25,0.16,0.02379,2.6E-4,3.5626,5.1E-4,GAIA2,0.3931,0.011,0.3634,0.038,0.3907,0.016,0.4018,0.01,0.4584,0.078,0.3695,0.041,Out,Gl 15A,4.59535,44.02295
5,"J00184+440 ",Gl 15B,3291,51," dM3.5",5.11,0.07,5.143,0.038,-0.19,0.16,0.003511,3.5E-5,3.5614,6.3E-4,GAIA2,0.1822,0.0057,0.1985,0.0027,0.1682,0.01,0.1623,0.0041,0.1561,0.027,0.1749,0.0026,"   ",Gl 15B,4.6076,44.02725
6,"J00286-066 ",GJ 1012,3398,51," dM4.0",4.98,0.07,4.853,0.033,0.07,0.16,0.01746,3.2E-4,13.374,0.018,GAIA2,0.3811,0.012,0.4091,0.0027,0.3781,0.016,0.3539,0.0084,0.5062,0.088,0.3991,0.0035,"   ",GJ 1012,7.16444,-6.66366
7,"J00389+306 ",Gl 26,3537,51," dM2.5",4.89,0.07,4.819,0.031,-0.05,0.16,0.02421,3.4E-4,12.665,0.0064,GAIA2,0.4142,0.012,0.4483,0.0049,0.413,0.017,0.4288,0.011,0.486,0.083,0.4549,0.0059,"   ",Gl 26,9.74602,30.61622
8,"J00570+450 ",G 172-030,3426,51," dM3.0",4.99,0.07,4.894,0.033,-0.06,0.16,0.01476,2.2E-4,13.148,0.0086,GAIA2,0.3447,0.011,0.3668,0.0079,0.3397,0.015,0.3403,0.0086,0.4238,0.073,0.3685,0.0086,"   ",G 172-030,14.26122,45.08605
9,"J01013+613 ",Gl 47,3529,51," dM2.0",4.94,0.07,4.858,0.031,-0.16,0.16,0.01985,2.7E-4,10.516,0.0044,GAIA2,0.3767,0.011,0.3976,0.003,0.3735,0.015,0.3832,0.0093,0.451,0.077,0.4075,0.0035,"   ",Gl 47,15.33354,61.36574
10,"J01025+716 ",Gl 48,3488,51," dM3.0",4.91,0.07,4.755,0.031,0.02,0.16,0.03136,5.2E-4,8.2359,0.002,GAIA2,0.4847,0.015,0.4956,0.0062,0.4875,0.019,0.4653,0.011,0.6969,0.12,0.4987,0.0065,"   ",Gl 48,15.63431,71.67981
11,"J01026+623 ",Gl 49,3805,51," dM1.5",4.69,0.07,4.733,0.029,0.13,0.16,0.04938,9.2E-4,9.8551,0.0029,GAIA2,0.5111,0.015,0.5689,0.0048,0.5153,0.019,0.5405,0.013,0.4669,0.08,0.5652,0.0074,"   ",Gl 49,15.66195,62.34505
12,"J01048-181 ",GJ 1028,3154,51," dM5.0",5.14,0.07,5.197,0.041,-0.02,0.16,0.0022,3.2E-5,9.7733,0.0076,GAIA2,0.157,0.0052,0.1808,0.002,0.1416,0.0097,0.1409,0.0036,0.1242,0.022,0.151,0.0019,"   ",GJ 1028,16.22418,-18.12462
13,"J01125-169 ",Gl 54.1,3151,51," dM4.5",5.17,0.07,5.197,0.042,-0.18,0.16,0.002195,3.5E-5,3.7125,0.0011,GAIA2,0.1571,0.0052,0.1769,0.0026,0.1418,0.0098,0.1368,0.0033,0.1332,0.023,0.1494,0.0024,"   ",Gl 54.1,18.12765,-16.99899
14,"J01339-176 ",LP 768-113,3349,51," dM4.0",5.06,0.07,4.983,0.034,-0.11,0.16,0.008656,1.1E-4,14.715,0.017,GAIA2,0.2762,0.0086,0.3065,0.0036,0.2675,0.013,0.2711,0.0077,0.3197,0.055,0.2996,0.0055,"   ",LP 768-113,23.49167,-17.63995
