Karmn,_RA,_DE,Tpr,s_Tpr,gpr,s_gpr,Teff1,e_Teff1,logg1,e_logg1,[Fe/H]1,e_[Fe/H]1,Corr1,e_Corr1,Teff2,e_Teff2,[Fe/H]2,e_[Fe/H]2,Corr2,e_Corr2,Pop,vsini,e_vsini
"J00051+457 ",1.29537,45.78656,3600,200,4.71,0.2,3773,16,5.07,0.08,-0.07,0.05,-0.04,0.05,3770,17,-0.23,0.03,-0.15,0.03,"YD  ",2.0,
"J00067-075 ",1.68,-7.53806,2900,200,5.22,0.2,3169,53,5.2,0.16,-0.22,0.22,-0.15,0.22,3137,36,-0.37,0.18,-0.25,0.18,"D   ",2.0,
J00162+198E,4.06729,19.86403,3200,200,4.94,0.2,3329,30,4.93,0.07,-0.18,0.09,-0.11,0.09,3327,25,-0.19,0.07,-0.12,0.07,TD-D,2.0,
"J00183+440 ",4.59533,44.02294,3500,200,4.79,0.2,3603,24,4.99,0.14,-0.75,0.11,-0.52,0.11,3603,23,-0.72,0.07,-0.49,0.1,"D   ",2.0,
"J00184+440 ",4.60758,44.02725,3200,200,5.12,0.2,3318,53,5.2,0.11,-0.53,0.17,-0.36,0.17,3302,61,-0.55,0.25,-0.38,0.25,"D   ",2.0,
"J00286-066 ",7.16442,-6.66367,3300,200,4.86,0.2,3419,28,4.81,0.08,-0.17,0.08,-0.11,0.08,3412,35,-0.21,0.1,-0.14,0.1,"D   ",2.0,
"J00389+306 ",9.746,30.61622,3500,200,4.81,0.2,3551,17,4.9,0.11,-0.24,0.07,-0.16,0.07,3563,15,-0.28,0.06,-0.19,0.06,"D   ",2.0,
"J00403+612 ",10.08871,61.21361,3700,200,4.77,0.2,3709,11,5.01,0.09,-0.02,0.03,0.0,0.03,3715,10,-0.18,0.03,-0.11,0.03,"YD  ",2.0,
"J00570+450 ",14.26121,45.08606,3300,200,4.86,0.2,3488,22,5.04,0.1,-0.04,0.05,-0.02,0.05,3491,21,-0.17,0.06,-0.11,0.06,"YD  ",2.0,
"J01013+613 ",15.33354,61.36575,3500,200,4.84,0.2,3564,19,5.05,0.08,-0.24,0.07,-0.16,0.07,3545,10,-0.24,0.04,-0.16,0.04,"D   ",2.0,
"J01019+541 ",15.49787,54.18269,2900,200,5.15,0.2,3070,13,5.12,0.03,-0.3,0.06,-0.2,0.06,3072,15,-0.34,0.04,-0.23,0.04,"D   ",30.6,3.1
"J01025+716 ",15.63433,71.67981,3400,200,4.74,0.2,3524,26,4.86,0.1,-0.08,0.07,-0.04,0.09,3516,21,-0.14,0.06,-0.08,0.06,"D   ",2.0,
"J01026+623 ",15.66196,62.34506,3600,200,4.69,0.2,3791,19,4.76,0.11,0.05,0.06,0.05,0.06,3782,18,-0.08,0.04,-0.04,0.04,"YD  ",2.0,
"J01033+623 ",15.83262,62.3655,3000,200,5.02,0.2,3057,49,5.12,0.18,-0.36,0.24,-0.24,0.24,3045,58,-0.37,0.13,-0.25,0.13,"YD  ",10.5,1.5
"J01048-181 ",16.22417,-18.12461,3000,200,5.16,0.2,3209,41,5.09,0.14,-0.16,0.17,-0.1,0.17,3200,33,-0.22,0.17,-0.15,0.17,"D   ",2.0,
"J01066+192 ",16.65404,19.22589,3400,200,4.88,0.2,3496,25,5.0,0.11,-0.08,0.07,-0.04,0.07,3495,22,-0.09,0.05,-0.05,0.05,"YD  ",2.0,
"J01125-169 ",18.12767,-16.999,3100,200,5.18,0.2,3228,46,5.24,0.16,-0.57,0.2,-0.39,0.2,3225,43,-0.65,0.22,-0.44,0.22,"D   ",2.0,
"J01339-176 ",23.49167,-17.63994,3200,200,4.94,0.2,3376,34,5.15,0.12,-0.2,0.08,-0.13,0.08,3424,19,-0.06,0.03,-0.03,0.03,"YD  ",2.0,
"J01352-072 ",23.808,-7.21431,3200,200,4.6,0.2,3052,12,4.73,0.15,-0.04,0.08,-0.02,0.08,3033,7,-0.12,0.09,-0.07,0.09,"YD  ",59.8,6.9
"J01433+043 ",25.83408,4.32167,3500,200,4.83,0.2,3547,20,5.1,0.17,-0.15,0.07,-0.09,0.07,3539,13,-0.22,0.04,-0.15,0.04,"D   ",2.0,
"J01518+644 ",27.96304,64.43497,3500,200,4.75,0.2,3625,21,5.04,0.1,-0.03,0.05,-0.01,0.05,3611,20,-0.14,0.05,-0.08,0.05,"YD  ",2.0,
"J02002+130 ",30.054,13.05194,3100,200,5.16,0.2,3237,32,5.22,0.14,-0.38,0.14,-0.25,0.14,3210,27,-0.51,0.28,-0.35,0.28,"D   ",2.0,
"J02015+637 ",30.39725,63.77,3400,200,4.77,0.2,3579,23,4.87,0.11,-0.14,0.08,-0.08,0.08,3549,22,-0.16,0.05,-0.1,0.05,"D   ",2.0,
"J02070+496 ",31.76608,49.64542,3400,200,4.9,0.2,3455,22,5.16,0.13,-0.12,0.06,-0.07,0.06,3471,22,-0.1,0.03,-0.06,0.03,"YD  ",2.0,
"J02088+494 ",32.22342,49.449,3300,200,4.83,0.2,3266,36,4.88,0.14,-0.24,0.19,-0.16,0.19,3270,37,-0.14,0.18,-0.08,0.18,"YD  ",24.1,2.4
"J02123+035 ",33.08746,3.57561,3700,200,4.81,0.2,3575,14,4.86,0.09,-0.72,0.06,-0.49,0.06,3571,14,-0.75,0.04,-0.52,0.04,"TD  ",2.0,
"J02222+478 ",35.561,47.88003,3900,200,4.7,0.2,3894,11,4.99,0.09,-0.01,0.04,0.0,0.04,3877,10,-0.2,0.03,-0.13,0.03,"D   ",2.0,
"J02336+249 ",38.40492,24.92714,3100,200,5.01,0.2,3313,24,5.19,0.1,-0.27,0.1,-0.18,0.1,3335,22,-0.06,0.05,-0.03,0.05,"D   ",3.0,1.5
